PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
A J Cole,365.0,17488.0,15436.0,83.0,47.8,42.5,0.0,44.0,38.0,164.0,26.0,102.0,155.0,1532.0,0.0
Adam Podlesh,548.0,23260.0,21100.0,76.0,42.6,38.4,1.0,56.0,86.0,183.0,37.0,142.0,226.0,1420.0,1.0
Alan Herline,26.0,861.0,717.0,50.0,34.8,29.4,1.0,3.0,6.0,1.0,4.0,5.0,7.0,64.0,0.0
Alex Waits,14.0,474.0,470.0,50.0,33.0,32.8,0.0,2.0,4.0,2.0,0.0,3.0,5.0,4.0,0.0
Andy Groom,11.0,429.0,383.0,57.0,38.6,34.0,0.0,1.0,2.0,2.0,1.0,1.0,6.0,26.0,0.0
Andy Lee,1715.0,79586.0,68161.0,82.0,46.7,39.9,7.0,89.0,214.0,547.0,153.0,348.0,904.0,8365.0,12.0
Arryn Siposs,148.0,6619.0,5860.0,69.0,44.8,39.3,1.0,12.0,25.0,48.0,8.0,31.0,71.0,599.0,0.0
Austin Barnard,11.0,486.0,426.0,55.0,43.6,39.0,0.0,1.0,0.0,4.0,1.0,3.0,6.0,40.0,0.0
B J Sander,64.0,2508.0,2171.0,53.0,40.3,34.8,0.0,2.0,4.0,11.0,2.0,11.0,45.0,297.0,0.0
Barry Bowman,3.0,104.0,92.0,36.0,34.7,30.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0
Barry Cantrell,10.0,367.0,333.0,40.0,36.4,33.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,34.0,0.0
Barry Helton,252.0,9573.0,7916.0,56.0,38.7,31.9,4.0,21.0,34.0,63.0,23.0,35.0,135.0,1197.0,0.0
Ben Graham,795.0,34584.0,29526.0,69.0,43.4,37.2,2.0,83.0,127.0,294.0,52.0,154.0,377.0,4018.0,5.0
Bill LaFleur,98.0,3677.0,3217.0,60.0,38.7,33.5,2.0,13.0,17.0,23.0,4.0,20.0,42.0,380.0,1.0
Bill Renner,38.0,1334.0,1174.0,50.0,38.1,32.8,3.0,4.0,7.0,6.0,2.0,2.0,20.0,120.0,0.0
Blake Gillikin,241.0,11553.0,10160.0,81.0,47.9,42.1,0.0,16.0,34.0,84.0,16.0,62.0,113.0,1073.0,0.0
Bob Grupp,216.0,8756.0,7587.0,74.0,41.0,35.7,2.0,40.0,13.0,51.0,20.0,22.0,119.0,769.0,0.0
Bob Parsons,804.0,30908.0,26101.0,81.0,38.8,32.8,5.0,73.0,113.0,160.0,62.0,116.0,434.0,3567.0,2.0
Bobby Joe Green,980.0,41604.0,36672.0,75.0,42.4,37.5,3.0,65.0,143.0,3.0,96.0,233.0,437.0,3012.0,2.0
Bobby Walden,1028.0,42520.0,36532.0,76.0,41.7,35.9,6.0,103.0,119.0,45.0,97.0,161.0,538.0,4048.0,4.0
Brad Costello,33.0,1239.0,992.0,73.0,39.7,32.1,1.0,3.0,8.0,1.0,4.0,3.0,14.0,167.0,0.0
Brad Maynard,1465.0,60685.0,53135.0,75.0,41.6,36.3,9.0,224.0,212.0,469.0,111.0,270.0,639.0,5330.0,5.0
Brad Nortman,585.0,26250.0,22679.0,78.0,45.0,38.9,5.0,47.0,69.0,190.0,52.0,155.0,257.0,2531.0,4.0
Brad Robbins,84.0,3740.0,3407.0,65.0,44.5,41.0,0.0,9.0,8.0,23.0,6.0,29.0,32.0,213.0,0.0
Brad Wing,435.0,19318.0,16769.0,74.0,45.0,38.9,3.0,34.0,74.0,130.0,33.0,96.0,195.0,1889.0,1.0
Braden Mann,289.0,13338.0,11672.0,72.0,46.5,40.9,1.0,38.0,47.0,92.0,17.0,56.0,130.0,1326.0,2.0
Bradley Pinion,801.0,35411.0,31890.0,73.0,44.3,39.8,2.0,83.0,84.0,267.0,32.0,243.0,357.0,2881.0,2.0
Brandon Fields,778.0,36289.0,30466.0,74.0,46.6,39.1,5.0,68.0,81.0,264.0,62.0,118.0,444.0,4583.0,5.0
Brent Bartholomew,51.0,1915.0,1645.0,52.0,37.8,31.9,0.0,1.0,8.0,13.0,4.0,19.0,19.0,190.0,0.0
Brett Hartmann,65.0,2872.0,2443.0,69.0,44.2,37.2,0.0,5.0,7.0,17.0,7.0,15.0,31.0,289.0,0.0
Brett Kern,1330.0,60599.0,53478.0,79.0,45.6,40.2,10.0,181.0,139.0,518.0,96.0,301.0,602.0,5201.0,7.0
Brian Hansen,1073.0,44965.0,37436.0,73.0,42.2,35.4,10.0,86.0,122.0,248.0,107.0,183.0,565.0,5389.0,4.0
Brian Moorman,1164.0,51002.0,43754.0,84.0,43.9,37.4,2.0,174.0,140.0,348.0,94.0,188.0,566.0,5368.0,5.0
Britton Colquitt,1059.0,47817.0,41883.0,79.0,45.4,39.8,6.0,71.0,133.0,339.0,56.0,270.0,523.0,4814.0,2.0
Brooks Barnard,20.0,730.0,650.0,49.0,36.5,32.5,0.0,4.0,2.0,8.0,2.0,2.0,10.0,40.0,0.0
Bruce Barnes,100.0,3738.0,3330.0,53.0,37.3,33.1,0.0,13.0,3.0,0.0,4.0,25.0,55.0,328.0,0.0
Bryan Anger,1003.0,46627.0,41264.0,83.0,46.9,41.5,6.0,52.0,99.0,363.0,75.0,308.0,463.0,3863.0,3.0
Bryan Barker,1209.0,50761.0,42934.0,83.0,42.3,35.7,2.0,140.0,133.0,344.0,114.0,188.0,632.0,5547.0,6.0
Bryan Wagner,549.0,22154.0,18611.0,71.0,40.7,34.3,5.0,57.0,82.0,140.0,42.0,80.0,283.0,2703.0,2.0
Bryce Baringer,109.0,5164.0,4502.0,79.0,48.6,42.6,0.0,15.0,9.0,44.0,10.0,27.0,48.0,462.0,0.0
Bucky Dilts,306.0,11384.0,10061.0,73.0,37.3,33.0,2.0,21.0,50.0,67.0,17.0,59.0,157.0,983.0,1.0
Bucky Scribner,370.0,14847.0,12431.0,70.0,40.9,33.8,4.0,53.0,46.0,77.0,38.0,42.0,187.0,1656.0,1.0
Buzz Sawyer,16.0,639.0,503.0,54.0,39.8,31.9,0.0,3.0,2.0,1.0,1.0,1.0,9.0,116.0,1.0
Cameron Johnston,551.0,26079.0,23403.0,74.0,47.4,42.5,1.0,42.0,58.0,232.0,34.0,147.0,269.0,1996.0,1.0
Cameron Nizialek,25.0,1198.0,990.0,62.0,48.8,42.1,0.0,3.0,4.0,7.0,2.0,3.0,13.0,168.0,0.0
Carl Birdsong,363.0,14916.0,12610.0,75.0,41.3,35.0,3.0,31.0,42.0,79.0,37.0,52.0,198.0,1566.0,0.0
Case deBruijn,5.0,174.0,83.0,56.0,34.8,16.6,0.0,3.0,0.0,1.0,0.0,0.0,2.0,91.0,1.0
Chad Stanley,599.0,24123.0,21061.0,70.0,40.5,35.1,5.0,20.0,81.0,174.0,39.0,179.0,275.0,2282.0,5.0
Chas Henry,107.0,4574.0,3904.0,62.0,42.6,36.6,1.0,3.0,14.0,32.0,15.0,23.0,51.0,370.0,0.0
Chris Bryan,31.0,1196.0,1097.0,57.0,39.1,36.3,0.0,6.0,5.0,7.0,0.0,6.0,14.0,99.0,0.0
Chris Gardocki,1240.0,52930.0,44139.0,72.0,42.7,35.8,0.0,83.0,176.0,338.0,110.0,219.0,652.0,6591.0,7.0
Chris Hanson,629.0,26572.0,22465.0,74.0,42.3,36.3,5.0,79.0,96.0,193.0,74.0,112.0,263.0,2627.0,6.0
Chris Kluwe,744.0,32969.0,27657.0,70.0,44.5,37.4,1.0,67.0,86.0,234.0,61.0,137.0,392.0,4092.0,12.0
Chris Mohr,1237.0,49566.0,43563.0,80.0,40.0,35.2,4.0,106.0,177.0,303.0,91.0,348.0,511.0,4183.0,5.0
Chris Norman,225.0,8951.0,7748.0,83.0,40.6,35.5,3.0,33.0,22.0,35.0,22.0,51.0,94.0,763.0,0.0
Chuck Ramsey,574.0,22680.0,18939.0,79.0,40.1,33.5,6.0,38.0,85.0,128.0,63.0,77.0,305.0,2481.0,3.0
Cliff Parsley,577.0,22806.0,18807.0,62.0,39.8,32.7,3.0,39.0,47.0,114.0,41.0,100.0,347.0,3179.0,2.0
Colby Wadman,161.0,7188.0,6327.0,65.0,44.6,39.4,0.0,21.0,16.0,57.0,12.0,42.0,70.0,621.0,3.0
Colin Ridgway,13.0,510.0,443.0,44.0,38.6,34.1,0.0,0.0,1.0,0.0,0.0,8.0,4.0,67.0,1.0
Colton Schmidt,435.0,19280.0,17297.0,67.0,44.5,39.9,0.0,62.0,47.0,137.0,24.0,89.0,213.0,1503.0,0.0
Corey Bojorquez,439.0,20545.0,17921.0,82.0,47.6,41.3,3.0,69.0,60.0,166.0,49.0,85.0,173.0,1644.0,1.0
Corliss Waitman,122.0,5666.0,5036.0,63.0,45.8,40.6,0.0,4.0,18.0,38.0,10.0,38.0,52.0,430.0,0.0
Cory Carter,3.0,144.0,114.0,56.0,47.2,38.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0
Craig Colquitt,459.0,18889.0,15907.0,74.0,41.0,34.5,2.0,77.0,46.0,118.0,48.0,50.0,237.0,2022.0,4.0
Craig Hentrich,1276.0,54409.0,47005.0,78.0,42.8,37.0,3.0,76.0,196.0,444.0,154.0,304.0,543.0,4324.0,6.0
Craig Jarrett,21.0,771.0,640.0,74.0,37.6,32.2,1.0,2.0,5.0,5.0,2.0,2.0,9.0,91.0,0.0
Curley Johnson,83.0,3547.0,2705.0,65.0,43.3,32.3,1.0,6.0,6.0,3.0,13.0,10.0,46.0,582.0,3.0
Dale Hatcher,538.0,21278.0,18380.0,67.0,39.5,34.3,4.0,29.0,74.0,148.0,34.0,135.0,262.0,2218.0,2.0
Dale Livingston,141.0,5805.0,5153.0,66.0,41.4,36.1,1.0,12.0,19.0,0.0,7.0,29.0,72.0,512.0,0.0
Dale Walters,11.0,400.0,352.0,56.0,36.2,31.9,0.0,4.0,3.0,2.0,1.0,1.0,2.0,28.0,0.0
Dallas Neil,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Melville,72.0,2626.0,2164.0,53.0,36.8,30.1,1.0,12.0,5.0,15.0,10.0,7.0,37.0,262.0,0.0
Dan Stryzinski,1074.0,42596.0,38117.0,76.0,39.9,35.7,6.0,91.0,127.0,298.0,78.0,395.0,377.0,2919.0,4.0
Dana Moore,15.0,486.0,332.0,46.0,33.2,24.6,1.0,3.0,2.0,0.0,0.0,0.0,9.0,154.0,0.0
Daniel Pope,201.0,8146.0,6865.0,64.0,40.3,34.1,2.0,24.0,27.0,40.0,24.0,37.0,87.0,801.0,1.0
Daniel Sepulveda,269.0,11891.0,10292.0,66.0,44.2,38.4,1.0,13.0,42.0,97.0,21.0,68.0,124.0,1179.0,1.0
Daniel Whelan,67.0,3063.0,2645.0,68.0,45.3,39.6,0.0,2.0,6.0,24.0,6.0,27.0,26.0,298.0,1.0
Danny Villanueva,82.0,3616.0,3156.0,58.0,44.3,39.2,0.0,3.0,18.0,0.0,5.0,13.0,43.0,360.0,0.0
Daren Parker,12.0,491.0,383.0,61.0,43.0,36.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,88.0,0.0
Darren Bennett,849.0,36693.0,31043.0,66.0,43.2,36.9,3.0,85.0,112.0,264.0,62.0,180.0,407.0,4410.0,7.0
Dave Bruno,13.0,464.0,422.0,53.0,36.1,32.7,0.0,5.0,3.0,2.0,1.0,0.0,4.0,22.0,0.0
Dave Chapple,225.0,8732.0,7338.0,70.0,39.3,33.2,3.0,39.0,30.0,3.0,18.0,27.0,105.0,1034.0,2.0
Dave Finzer,165.0,6593.0,5751.0,87.0,40.4,35.2,2.0,25.0,17.0,42.0,10.0,25.0,86.0,642.0,0.0
Dave Green,381.0,15228.0,12287.0,70.0,40.6,32.8,3.0,25.0,40.0,48.0,35.0,22.0,256.0,2241.0,1.0
Dave Jennings,1204.0,49135.0,40998.0,73.0,41.1,34.3,10.0,113.0,160.0,241.0,114.0,131.0,674.0,5857.0,5.0
Dave Smigelsky,26.0,1000.0,881.0,54.0,38.7,34.8,0.0,4.0,3.0,6.0,2.0,2.0,15.0,79.0,0.0
Dave Zastudil,967.0,42349.0,36192.0,79.0,44.1,37.5,5.0,76.0,143.0,313.0,90.0,183.0,470.0,4357.0,6.0
David Beverly,666.0,25285.0,21959.0,69.0,38.0,32.9,2.0,72.0,79.0,82.0,45.0,87.0,381.0,2426.0,0.0
David Lee,910.0,36416.0,30764.0,76.0,41.0,35.0,12.0,80.0,93.0,63.0,85.0,135.0,498.0,3952.0,2.0
Dennis Partee,221.0,8720.0,7552.0,62.0,40.3,35.0,5.0,15.0,33.0,0.0,14.0,36.0,113.0,888.0,1.0
Derrick Frost,403.0,16640.0,14535.0,65.0,41.5,36.2,1.0,32.0,65.0,114.0,31.0,67.0,207.0,1485.0,0.0
Dick Deschaine,241.0,10087.0,9208.0,73.0,42.1,38.5,2.0,11.0,49.0,2.0,8.0,0.0,164.0,719.0,2.0
Dirk Johnson,462.0,19266.0,16703.0,63.0,41.6,36.0,0.0,38.0,65.0,129.0,39.0,79.0,241.0,1783.0,1.0
Dom Maggio,4.0,188.0,155.0,51.0,47.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0
Don Bracken,466.0,18375.0,15216.0,65.0,39.8,33.3,5.0,32.0,67.0,97.0,41.0,68.0,253.0,2339.0,1.0
Don Chandler,367.0,16008.0,13542.0,67.0,44.1,37.1,2.0,22.0,67.0,7.0,28.0,13.0,225.0,1906.0,5.0
Don Silvestri,5.0,238.0,168.0,61.0,47.6,33.6,0.0,1.0,0.0,0.0,1.0,0.0,3.0,50.0,0.0
Donnie Gibbs,3.0,99.0,85.0,35.0,33.0,28.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
Donnie Jones,1364.0,61355.0,53607.0,80.0,45.2,39.6,8.0,100.0,213.0,450.0,116.0,268.0,659.0,5428.0,8.0
Drew Butler,324.0,13837.0,12011.0,79.0,43.7,38.0,4.0,23.0,36.0,109.0,24.0,103.0,134.0,1346.0,1.0
Drew Kaser,182.0,8703.0,7342.0,69.0,47.2,37.7,1.0,13.0,22.0,64.0,20.0,20.0,106.0,961.0,3.0
Drue Chrisman,44.0,2105.0,1815.0,65.0,47.1,40.7,0.0,6.0,2.0,17.0,3.0,9.0,24.0,230.0,0.0
Duane Carrell,332.0,12717.0,10446.0,72.0,38.2,31.5,0.0,31.0,40.0,40.0,30.0,36.0,195.0,1671.0,2.0
Durant Brooks,39.0,1586.0,1283.0,60.0,40.3,31.2,0.0,2.0,6.0,14.0,2.0,10.0,19.0,263.0,2.0
Dustin Colquitt,1454.0,65027.0,57816.0,81.0,44.8,40.1,10.0,98.0,229.0,574.0,124.0,382.0,611.0,4731.0,5.0
Eddie Hare,84.0,3038.0,2501.0,58.0,36.0,28.6,1.0,13.0,14.0,20.0,11.0,17.0,28.0,317.0,1.0
Eddie Howard,9.0,324.0,295.0,45.0,35.9,33.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,9.0,0.0
Eddie Johnson,57.0,2191.0,1858.0,55.0,38.3,32.8,1.0,4.0,6.0,12.0,5.0,16.0,25.0,233.0,0.0
Ethan Evans,85.0,4211.0,3272.0,72.0,48.2,38.0,1.0,9.0,6.0,28.0,12.0,15.0,42.0,699.0,3.0
Evan Arapostathis,30.0,1140.0,974.0,50.0,37.2,32.3,0.0,6.0,2.0,5.0,0.0,2.0,20.0,166.0,0.0
Filip Filipovic,66.0,2640.0,2082.0,60.0,40.5,31.8,1.0,5.0,10.0,14.0,6.0,12.0,32.0,438.0,0.0
Frank Lambert,157.0,6802.0,5923.0,69.0,43.8,38.4,1.0,8.0,25.0,0.0,10.0,26.0,86.0,679.0,2.0
Gabe Lindstrom,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Roberts,330.0,13365.0,11367.0,71.0,41.0,34.7,4.0,41.0,38.0,74.0,41.0,44.0,162.0,1178.0,0.0
George Winslow,34.0,1211.0,1070.0,50.0,37.2,31.0,0.0,2.0,6.0,9.0,3.0,10.0,13.0,81.0,0.0
Glen Walker,172.0,6144.0,5476.0,61.0,36.7,33.1,3.0,22.0,23.0,40.0,13.0,36.0,75.0,408.0,1.0
Glenn Pakulak,55.0,2435.0,2079.0,71.0,44.8,38.2,0.0,3.0,9.0,10.0,3.0,3.0,37.0,296.0,0.0
Greg Cater,393.0,15173.0,13015.0,71.0,39.0,33.6,3.0,44.0,51.0,91.0,44.0,83.0,168.0,1278.0,1.0
Greg Coleman,843.0,34020.0,28500.0,73.0,40.6,33.7,4.0,132.0,107.0,189.0,65.0,78.0,457.0,4220.0,5.0
Greg Gantt,137.0,4845.0,3925.0,71.0,35.4,29.5,3.0,25.0,17.0,0.0,18.0,22.0,49.0,560.0,1.0
Greg Horne,123.0,4958.0,3985.0,66.0,39.9,32.4,1.0,17.0,11.0,22.0,16.0,12.0,66.0,653.0,1.0
Greg Montgomery,569.0,24272.0,20554.0,77.0,43.3,36.6,10.0,60.0,79.0,144.0,54.0,62.0,304.0,2638.0,3.0
Hal Roberts,88.0,3386.0,2705.0,57.0,38.9,31.4,0.0,9.0,10.0,3.0,8.0,4.0,57.0,521.0,1.0
Hank Ilesic,76.0,3049.0,2501.0,64.0,39.5,32.8,0.0,12.0,10.0,11.0,7.0,8.0,39.0,408.0,0.0
Harold Alexander,143.0,5950.0,5178.0,75.0,42.5,36.1,0.0,14.0,20.0,33.0,9.0,32.0,68.0,592.0,0.0
Harry Newsome,720.0,29872.0,24257.0,84.0,42.5,34.1,15.0,53.0,75.0,154.0,90.0,116.0,371.0,3815.0,2.0
Herman Weaver,715.0,28288.0,23645.0,69.0,40.5,33.4,14.0,49.0,101.0,64.0,68.0,93.0,383.0,3283.0,2.0
Hunter Niswander,31.0,1462.0,1252.0,58.0,47.0,40.6,0.0,0.0,1.0,10.0,3.0,15.0,12.0,150.0,0.0
Hunter Smith,775.0,33224.0,27359.0,69.0,43.4,35.4,5.0,56.0,84.0,251.0,74.0,182.0,374.0,4385.0,5.0
J K Scott,440.0,19692.0,17757.0,83.0,44.8,40.4,2.0,44.0,58.0,147.0,28.0,157.0,151.0,1375.0,3.0
Jack Fox,289.0,13974.0,12359.0,74.0,48.3,42.9,0.0,15.0,42.0,108.0,25.0,75.0,131.0,1115.0,0.0
Jack Weil,48.0,1826.0,1539.0,55.0,37.9,31.9,0.0,6.0,8.0,10.0,4.0,2.0,28.0,207.0,0.0
Jacob Schum,154.0,6706.0,6081.0,66.0,43.7,39.6,0.0,18.0,17.0,47.0,11.0,41.0,67.0,405.0,0.0
Jake Bailey,332.0,15166.0,13494.0,71.0,46.5,41.5,3.0,46.0,51.0,140.0,29.0,91.0,112.0,1092.0,2.0
Jake Camarda,201.0,9830.0,8225.0,74.0,49.4,42.0,0.0,24.0,18.0,62.0,25.0,38.0,95.0,1105.0,0.0
Jamie Gillan,390.0,17737.0,15811.0,74.0,45.7,40.6,2.0,42.0,41.0,137.0,25.0,124.0,156.0,1426.0,1.0
Jason Baker,1033.0,43718.0,36998.0,76.0,42.3,36.3,6.0,46.0,139.0,306.0,74.0,212.0,556.0,5240.0,16.0
Jeff Feagles,1822.0,75281.0,65572.0,77.0,41.5,36.3,13.0,274.0,218.0,592.0,135.0,375.0,807.0,7009.0,13.0
Jeff Gossett,1079.0,44228.0,37281.0,65.0,41.2,34.8,5.0,159.0,110.0,267.0,110.0,141.0,554.0,4747.0,3.0
Jeff Hayes,315.0,11753.0,10330.0,59.0,37.8,32.7,6.0,27.0,50.0,77.0,19.0,57.0,156.0,1043.0,1.0
Jeff Locke,415.0,17958.0,16113.0,72.0,43.7,39.4,1.0,16.0,62.0,146.0,25.0,120.0,191.0,1345.0,2.0
Jeff West,660.0,24959.0,21506.0,62.0,37.9,32.7,4.0,75.0,60.0,147.0,59.0,153.0,308.0,2273.0,2.0
Jeremy Kapinos,201.0,8839.0,7290.0,63.0,44.7,37.2,1.0,6.0,23.0,63.0,26.0,32.0,113.0,1029.0,0.0
Jerrel Wilson,1127.0,48005.0,39636.0,72.0,42.8,35.5,12.0,108.0,174.0,47.0,103.0,95.0,625.0,6309.0,5.0
Jerry DePoyster,187.0,7228.0,6405.0,60.0,39.2,34.7,3.0,8.0,26.0,1.0,14.0,48.0,85.0,543.0,0.0
Jim Arnold,882.0,37154.0,31008.0,71.0,42.1,35.1,5.0,100.0,108.0,199.0,90.0,105.0,474.0,4346.0,5.0
Jim Asmus,12.0,384.0,336.0,51.0,32.1,27.0,0.0,2.0,2.0,3.0,1.0,1.0,6.0,28.0,0.0
Jim Elliott,74.0,2744.0,2387.0,55.0,38.5,33.5,2.0,4.0,10.0,0.0,4.0,13.0,39.0,277.0,1.0
Jim Fraser,11.0,391.0,392.0,56.0,35.5,35.6,0.0,0.0,6.0,0.0,0.0,3.0,2.0,-1.0,0.0
Jim McCann,152.0,5488.0,5043.0,63.0,38.1,35.3,6.0,7.0,16.0,3.0,13.0,54.0,50.0,185.0,0.0
Jimmy Colquitt,12.0,481.0,411.0,55.0,39.8,33.4,0.0,1.0,5.0,3.0,2.0,1.0,3.0,30.0,0.0
Joe Prokop,408.0,15872.0,13701.0,76.0,38.7,33.2,0.0,45.0,72.0,95.0,25.0,64.0,202.0,1671.0,3.0
John Baker,104.0,4264.0,3623.0,59.0,41.4,35.1,1.0,9.0,19.0,28.0,14.0,20.0,41.0,361.0,0.0
John Bruno,17.0,619.0,517.0,56.0,38.4,31.6,1.0,1.0,0.0,5.0,4.0,1.0,10.0,22.0,0.0
John Goodson,51.0,2046.0,1784.0,66.0,40.8,35.6,0.0,8.0,5.0,12.0,4.0,6.0,28.0,182.0,0.0
John James,1149.0,46334.0,39146.0,75.0,40.5,34.5,6.0,103.0,115.0,170.0,102.0,179.0,642.0,5148.0,3.0
John Jett,805.0,33951.0,28844.0,62.0,42.3,35.7,5.0,29.0,103.0,255.0,76.0,171.0,421.0,3587.0,3.0
John Kidd,1095.0,45286.0,38701.0,67.0,41.4,35.8,6.0,91.0,165.0,281.0,103.0,194.0,536.0,4525.0,4.0
John Misko,226.0,8972.0,7544.0,67.0,40.0,33.9,2.0,22.0,20.0,52.0,23.0,40.0,119.0,968.0,1.0
John Nies,5.0,174.0,137.0,39.0,34.8,27.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0
John Seedborg,8.0,247.0,245.0,49.0,35.3,35.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0
John Starnes,6.0,203.0,184.0,49.0,33.8,30.7,0.0,2.0,1.0,2.0,0.0,0.0,3.0,19.0,0.0
John Teltschik,354.0,13958.0,11878.0,70.0,39.8,34.1,5.0,21.0,51.0,75.0,25.0,68.0,184.0,1580.0,2.0
John Warren,60.0,2350.0,1940.0,54.0,39.2,31.6,0.0,4.0,7.0,10.0,4.0,8.0,37.0,330.0,0.0
Johnny Evans,222.0,8700.0,7233.0,65.0,39.9,32.8,2.0,21.0,35.0,36.0,24.0,15.0,125.0,987.0,0.0
Johnny Hekker,1082.0,50455.0,46221.0,78.0,46.7,42.7,3.0,161.0,144.0,416.0,63.0,303.0,408.0,2974.0,3.0
